"value","returning_responder","status","time_submitted"
"4","0","Complete","2018-02-18 00:47:29"
"7 - Very confident","0","Complete","2018-02-20 21:14:05"
"4","0","Complete","2018-02-21 10:15:45"
"7 - Very confident","0","Complete","2018-02-22 05:24:27"
"5","1","Complete","2018-02-22 06:10:45"
"4","0","Complete","2018-02-23 05:57:29"
"3","1","Complete","2018-02-24 21:34:02"
"4","0","Complete","2018-02-24 23:09:56"
"7 - Very confident","0","Complete","2018-02-26 17:01:55"
"7 - Very confident","0","Complete","2018-02-16 03:25:56"
"1","0","Complete","2018-02-17 01:37:59"
"4","0","Complete","2018-02-17 09:34:30"
"4","0","Complete","2018-02-18 03:18:53"
"5","0","Complete","2018-02-20 06:17:06"
"4","0","Complete","2018-02-21 00:05:18"
"1","0","Complete","2018-02-21 06:52:04"
"0 - Not at all confident","0","Complete","2018-02-21 20:51:29"
"2","0","Complete","2018-02-21 22:37:47"
"4","0","Complete","2018-02-22 04:03:30"
"6","0","Complete","2018-02-23 01:17:24"
"2","0","Complete","2018-02-24 18:15:56"
"2","0","Complete","2018-02-26 10:50:13"
"4","0","Complete","2018-02-26 22:50:43"
"2","0","Complete","2018-02-27 00:23:02"
"4","0","Complete","2018-02-27 06:49:51"
"5","0","Complete","2018-02-27 07:51:40"
